NEW ITER
5972.0, 5498.0, 5715.0
5225.0, 4896.0, 7350.0
5160.0, 5629.0, 6894.0
5006.0, 5386.0, 6953.0
NEW ITER
5952.0, 4837.0, 6734.0
6471.0, 4955.0, 6407.0
6480.0, 5049.0, 5926.0
6385.0, 5353.0, 6465.0
6317.0, 4712.0, 6466.0
6711.0, 4851.0, 5668.0
6850.0, 4641.0, 5906.0
6252.0, 5445.0, 6010.0
5865.0, 5510.0, 6909.0
5278.0, 4751.0, 7237.0
5899.0, 4982.0, 6847.0
5312.0, 4223.0, 7175.0
5797.0, 4869.0, 6910.0
5732.0, 5602.0, 6454.0
4352.0, 6176.0, 5784.0
5011.0, 6047.0, 6444.0
5874.0, 5604.0, 6428.0
5020.0, 6141.0, 5963.0
4525.0, 4122.0, 7593.0
5711.0, 5267.0, 6968.0
6105.0, 5406.0, 6170.0
5646.0, 6000.0, 6512.0
5837.0, 5730.0, 5986.0
5972.0, 5498.0, 5715.0
5225.0, 4896.0, 7350.0
5160.0, 5629.0, 6894.0
5006.0, 5386.0, 6953.0
